,title,recipe_amount,recipe_link,recipe_image_link
169,Keptas jūrų ešerys portugališkai,2 asm.,https://www.15min.lt/maistas/receptas/keptas-juru-eserys-portugaliskai-7696,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDE0MTc4JmRhdGU9MjAxOSUyRjAxJTJGMDQsMjQ2NDQ5NDIxOA==/juru-eserys-portugaliskai-5c2fc13f71598.jpg
170,Prancūziškas migdolinis pyragas Trijų Karalių šventei,6 asm.,https://www.15min.lt/maistas/receptas/prancuziskas-migdolinis-pyragas-triju-karaliu-sventei-7694,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDE0MjE4JmRhdGU9MjAxOSUyRjAxJTJGMDQsMjUzMjM5NzM2Nw==/prancuziskas-migdolinis-pyragas-5c2fc6b650012.jpg
171,"Lengvos mandarinų, fetos ir karamelizuotų migdolų salotos",2 asm.,https://www.15min.lt/maistas/receptas/lengvos-mandarinu-fetos-ir-karamelizuotu-migdolu-salotos-7692,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDEwMjEwJmRhdGU9MjAxOSUyRjAxJTJGMDIsODYyMzQ4MDc1/mandarinu-fetos-ir-karamelizuotu-migdolusalotos-5c2d1a0d3a705.jpeg
172,"Mielinės bandelės su cinamonu, praturtintos moliūgais",6 asm.,https://www.15min.lt/maistas/receptas/mielines-bandeles-su-cinamonu-praturtintos-moliugais-7690,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDEyMzQ4JmRhdGU9MjAxOSUyRjAxJTJGMDMsMTc1MDI0MDIwOA==/bandeles-su-cinamonu-praturtintos-moliugais-5c2e733db87e3.jpg
173,"Vafliai, pertepti riešutų-datulių įdaru",4 asm.,https://www.15min.lt/maistas/receptas/vafliai-pertepti-riesutu-datuliu-idaru-7688,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDE2MTA0JmRhdGU9MjAxOSUyRjAxJTJGMDYsNDE0NDE0NzQ5Mg==/vafliai-su-pertepimu-5c3261f1ac26e.jpg
174,Bananų duona su „Nutella“ įdaru,6 asm.,https://www.15min.lt/maistas/receptas/bananu-duona-su-nutella-idaru-7686,https://s1.15min.lt/static/cache/MjIweDIwMCw4MDl4NDcxLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQxMTA0OCZkYXRlPTIwMTklMkYwMSUyRjAzLDIxNTU0MDYwOTk=/bananu-duona-su-nutella-5c2de5a0d5bec.jpg
175,"Itališki mėsos kukuliukai su rikota, troškinti su paprikomis",4 asm.,https://www.15min.lt/maistas/receptas/italiski-mesos-kukuliukai-su-rikota-troskinti-su-paprikomis-7684,https://s1.15min.lt/static/cache/MjIweDIwMCw0NjJ4MzEyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQxMDIxNCZkYXRlPTIwMTklMkYwMSUyRjAyLDI2Mzg4NDY0MTY=/mesos-kukuliuku-troskintu-su-raudonosiomis-paprikomis-gaminimas-5c2d1cf0771b9.jpg
176,Mieliniai „mazgeliai“ su cinamonu ir razinomis,6 asm.,https://www.15min.lt/maistas/receptas/mieliniai-mazgeliai-su-cinamonu-ir-razinomis-7682,https://s1.15min.lt/static/cache/MjIweDIwMCw0MDZ4NDEyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQwOTI4MCZkYXRlPTIwMTklMkYwMSUyRjAyLDM5MTk0NDMxOTE=/cinamonines-bandeles-5c2ca890670f9.jpg
177,Su čiobreliais keptas viščiukas ir česnakinės bulvės,4 asm.,https://www.15min.lt/maistas/receptas/su-ciobreliais-keptas-visciukas-ir-cesnakines-bulves-7680,https://s1.15min.lt/static/cache/MjIweDIwMCw3NzZ4NjgwLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQwOTA2MCZkYXRlPTIwMTklMkYwMSUyRjAyLDE1MDMxMTEyNTE=/keptas-visciukas-5c2c8971e9fba.jpg
178,Žiemiškas įvairiausių daržovių apkepas,4 asm.,https://www.15min.lt/maistas/receptas/ziemiskas-ivairiausiu-darzoviu-apkepas-7678,https://s1.15min.lt/static/cache/MjIweDIwMCw2MzR4NDI0LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQxNjc4MiZkYXRlPTIwMTklMkYwMSUyRjA3LDM2NTM5NTUzOTk=/darzoviu-apkepas-5c332cc3cb328.jpg
